query_id,query,department,solution,query_date,date_solved,employee_id
1,Do I need to enter ‘#’ after keying in my Card number/ Card expiry date/ CVV number,security,Please listen to the recorded message and follow the instructions while entering your card details.,6/11/2019,2/3/2019,501
2,What details are required when I want to perform a secure IVR transaction,security,"To perform a secure IVR transaction, you will need your 16-digit Card number, Card expiry date, CVV number, mobile number and IVR password.",2/1/2019,7/30/2019,521
3,How should I get the IVR Password  if I hold an add-on card,security,An IVR password can be requested only from the registered mobile number and will be sent to the registered mobile number / email ID of the primary card holder only.,11/25/2018,4/27/2019,564
4,How do I register my Mobile number for IVR Password,security,Please call our Customer Service Centre and ensure that your mobile number is updated in our records.,3/11/2019,2/12/2019,547
5,How can I obtain an IVR Password,security,"By Sending SMS request: Send an SMS 'PWD<space>1234' to 9717465555 or to 5676712 from your registered (with Bank) mobile number.(Note: 1234 are the last 4 digits of your Syndicate Bank Credit Card number). You will receive an SMS with the IVR password on the same number. From Syndicate Bank Website: If you have registered your card for NetSafe/ Verified by Visa/ MasterCard SecureCode, you can also login in to your NetSafe/ Verified by Visa/ MasterCard SecureCode account and use the Generate IVR Password option available on the left menu. The IVR password will be sent to your registered mobile number and email ID. These are the most convenient and recommended options. To ensure convenience, make a note of the IVR password and keep it handy while performing the transaction. Note: Kindly ensure that your latest mobile number and email ID is updated with us. Premium SMS charges as per your mobile service provider will apply for an SMS sent to 5676712 View more",4/15/2019,10/17/2018,563
6,Can I use the same IVR Password  to perform multiple transactions,security,"No, each IVR password can be used only for a maximum of 3 attempts (including decline attempts) within the specified validity period. For further transaction attempts, a new IVR password must be generated.",9/11/2018,6/3/2019,585
7,Can I generate multiple IVR Passwords,security,"No, only one IVR password can be generated at a time. Only when the first one is used / expires, can the next IVR password be generated.",8/7/2019,11/10/2018,529
8,How do I register for IVR password,security,There is no registration process. However you will have to obtain a 3D Secure IVR password to perform a secure IVR transaction by sending an SMS prior to the transaction or through NetSafe/ Verified by Visa/ MasterCard SecureCode login account (as mentioned above).,4/17/2019,2/23/2019,543
9,What is IVR Password and how does it work,security,"To make telephonic (IVR) transactions more secure, all purchases/payments to merchants that you make using your mobile or telephone need to be authenticated with an additional password. While making an IVR transaction, you will be prompted to enter the IVR password after you enter the Card number, Card expiry date and the CVV number. If you fail to enter the IVR password, the transaction will be declined. View more",5/24/2019,1/13/2019,544
10,In how much time will the IVR Password be delivered to my mobile phone/email ID,security,"IVR 3D Secure password is delivered instantly. It takes less than a minute. However, network congestion could cause delay.",3/17/2019,6/17/2019,548
11,Can the OTP be generated prior to the transaction,security,"No, OTP can be generated only during the transactions.",8/11/2019,11/12/2018,532
12,Can I continue using the Verified by Visa/MasterCard SecureCode/Protectbuy password for online transactions,security,"Yes, you can continue using your secure password, OTP is an additional option provided for checkout.",9/21/2018,9/30/2018,588
13,On which mobile number will I receive the OTP,security,OTP will be sent to the registered mobile number (updated in Credit card system).,2/4/2019,2/8/2019,518
14,Is it necessary to register the card for an OTP transaction,security,Prior registration is not necessary for an OTP transaction.,3/8/2019,4/3/2019,547
15,Is this option available on all the online transactions,security,This option is available on all websites which are participating in the VBV/MSC/Portectbuy secure transaction protocol.,2/24/2019,12/22/2018,589
16,Can the OTP be used for multiple online transactions,security,OTP can be used only for a single online transaction.,6/8/2019,4/3/2019,569
17,How will the OTP be sent to the customers,security,OTP will be sent only via SMS to the customers' registered mobile number.,11/7/2018,2/28/2019,517
18,What is the validity period of the OTP,security,OTP is valid for a period of only 3 minutes.,10/14/2018,8/31/2019,597
19,What happens if I shop at a Verified by Visa/ MasterCard SecureCode merchant website while I'm not registered for this feature,security,"You will be prompted for online registration for Verified by Visa/ MasterCard SecureCode through a pop-up screen. You will need to authenticate yourself with your Credit/Debit Card number, Card expiry date and ATM PIN (or CVV2 and Date of birth for Credit Cards, along with your mobile number and email ID). For Debit Cards, you can choose your password to be used for Verified by Visa/ MasterCard SecureCode. For Credit Cards, a One Time Password one will be sent to your email ID instantly, which has to be used to complete the registration process. Thereafter, you can continue shopping on the merchant website. If you decide not to register immediately and cancel the pop-up screen, your transaction will not get authorized and you would not be able to complete the transaction on such websites. Therefore, it is strongly recommended that you don’t cancel the pop-up screen and register for Verified by Visa/ MasterCard SecureCode as it protects you from online frauds. View more",7/28/2019,7/11/2019,594
20,Where can I shop with Verified by Visa,security,You can shop at participating online stores that have the Verified by Visa/ MasterCard SecureCode mark.,3/16/2019,8/30/2019,519
